id,stock_id,ReportNo,shape,carats,col,clar,cut,pol,symm,flo,floCol,length,width,height,depth,table,culet,lab,girdle,eyeclean,brown,green,milky,actual_supplier,supplier_id,discount,price,price_per_carat,video,video_frames,image,pdf,mine_of_origin,canada_mark_eligble,supplier_name,location,is_returnable
1,LD200110653,6342807067,ROUND,0.3,E,VVS2,VG,EX,VG,NON,,4.22,4.24,2.64,62.3,62,None,GIA,THK,100%,Not brown,Not green,Not milky,Laxmi,523f5320-903b-4939-8f99-c88e0d49c77b,-41.00%,455,1516,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/2178526c-dd89-48c9-920b-84ab7345ae84.jpg,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/6342807067.pdf,,,,IN,N
1,LD200110224,7346786131,ROUND,0.55,D,VS2,EX,EX,EX,NON,,5.21,5.23,3.26,62.5,58,None,GIA,MED to STK,100%,Not brown,Not green,Not milky,Laxmi,523f5320-903b-4939-8f99-c88e0d49c77b,-37.00%,1350,2453.85,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/416d8b32-fbfd-4a23-9197-1fc311493790.jpg,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/7346786131.pdf,,,,IN,N
,G431-138852,6351185065,ROUND,0.5,H,SI2,EX,EX,VG,NON,,5.04,5.07,3.17,62.7,55,None,GIA,MED to STK,90%,Not brown,,,Shivam Jewels,30e7f681-ab85-4b0e-b046-c4b9abd2ef1e,-39.35%,727,1454.96,https://nivoda-images.s3.amazonaws.com/aHR0cHM6Ly9zandvcmxkaW1nLmF6dXJlZWRnZS5uZXQvc2ppbWcvaW1hZ2VzL1Zpc2lvbjM2MC5odG1sP2Q9RzQzMS0xMzg4NTI=,256,https://nivoda-images.s3.eu-west-2.amazonaws.com/12e84490-d27f-47f4-a25d-06871d017e0e.jpg,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/6351185065.pdf,,,,IN,N
1,HK1436398,2356041115,ROUND,0.31,I,VS2,EX,EX,EX,FNT,,4.32,4.34,2.7,62.4,59,None,GIA,MED to STK,100%,,,Not milky,Hari Krishna,1d8066ed-4b96-490d-9dd5-e68a649fd592,-39.70%,348,1121.87,https://nivoda-images.s3.amazonaws.com/aHR0cHM6Ly9kaWFtYW50aS5zMy5hbWF6b25hd3MuY29tL3ZpZGVvL1Zpc2lvbjM2MC5odG1sP2Q9SEsxNDM2Mzk4,16,https://nivoda-images.s3.eu-west-2.amazonaws.com/15f5bb97-ac3a-4d44-98f1-6b8686b0e303.jpg,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/2356041115.pdf,,,,HK,N
,HK1436104,2205881228,ROUND,0.31,I,SI2,EX,EX,EX,NON,,4.32,4.34,2.68,61.9,58,None,GIA,MED to STK,90%,,,Not milky,Hari Krishna,1d8066ed-4b96-490d-9dd5-e68a649fd592,-40.14%,290,934.84,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/10eb9471-68da-441d-86e6-b917c278270e.jpg,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/2205881228.pdf,,,,HK,N
1,DU09130805817,2347955137,ROUND,0.4,J,SI1,VG,EX,VG,MED,Blue,4.63,4.57,2.97,64.5,57,NON,GIA,STK to THK,,,,,China Star ,3a1357c1-60d9-4cdc-96d7-7a9bebec3568,-48.06%,362,906.05,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/1f09cc9e-3cb3-4a60-bd8e-e04730418966.jpg,,,,,HK,N
,323D-199-A,1339496937,ROUND,0.35,I,SI1,EX,EX,EX,NON,,4.47,4.5,2.82,62.8,56,None,GIA,MED to STK,,,,,Paladiya Brothers & co,e6c24977-7efd-4b1c-95c4-1aca4bed604a,-45.43%,316,904.26,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/1339496937.pdf,,,,IN,N
1,327C-312-A,1347853303,ROUND,0.3,H,SI1,EX,EX,EX,NON,,4.28,4.3,2.68,62.4,57,None,GIA,STK,,,,,Paladiya Brothers & co,e6c24977-7efd-4b1c-95c4-1aca4bed604a,-43.06%,303,1011.03,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/1347853303.pdf,,,,IN,N
,220-176A,7341799318,ROUND,0.32,F,IF,EX,EX,EX,MED,Blue,4.34,4.36,2.72,62.5,57,None,GIA,MED to STK,100%,,,Not milky,SHREE RAMDOOT GEMS LLP,efab5e1c-0e13-411a-b955-2b734f74ce71,-48.75%,456,1426.25,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/7341799318.pdf,,,,IN,N
,LD200110582,6341807286,ROUND,0.4,H,VS1,EX,EX,EX,NON,,4.69,4.72,2.95,62.7,56,None,GIA,MED to STK,100%,,,Not milky,Laxmi,523f5320-903b-4939-8f99-c88e0d49c77b,-36.00%,593,1483,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/428f4a42-85ae-40ca-b1cc-cd160cc3c435.jpg,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/6341807286.pdf,,,,IN,N
,LD200110210,5346788866,ROUND,0.53,D,VVS2,EX,EX,EX,NON,,5.16,5.19,3.24,62.6,57,None,GIA,MED to STK,100%,Not brown,Not green,Not milky,Laxmi,523f5320-903b-4939-8f99-c88e0d49c77b,-36.00%,1599,3017.6,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/b6f4ce42-b9c2-42f3-8f38-bfe62e7c77ae.jpg,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/5346788866.pdf,,,,IN,N
,200763-GC,1343474447,ROUND,0.7,F,SI1,VG,EX,GD,NON,,5.55,5.46,3.55,64.4,57,NON,GIA,THN to THK,,,,,Vaishali Gems,0f73b5bb-6b58-4f06-964b-d20097ee9d3b,-51.60%,1389,1984.4,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/a922c3be-ee77-4ad9-871c-f2718c89f131.jpg,TRUE,,,,HK,Y
,G421-136290,2347984178,ROUND,1,H,SI2,VG,EX,VG,NON,,6.37,6.42,3.89,60.8,61,None,GIA,THN to THK,75%,Not brown,,,Shivam Jewels,30e7f681-ab85-4b0e-b046-c4b9abd2ef1e,-45.47%,2962,2962.34,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/4e8a7180-75a5-473f-a892-91017c69b122.jpg,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/2347984178.pdf,,,,IN,N
,80530,1353133701,ROUND,2.07,E,VS1,EX,EX,EX,NON,,8.08,8.14,5.07,62.5,57,None,GIA,MED to STK,100%,Not brown,,Not milky,Sagar Enterprise,e8af6b4d-0eb8-49f9-869b-c5420a3a0cea,-41.96%,23578,11390.24,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/c71f2a5f-1ec6-4cc6-8b01-58b7a8f33c64.jpg,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/1353133701.pdf,,,,HK,N
,G401-132394,2347581539,ROUND,1,H,SI1,EX,VG,VG,NON,,6.3,6.4,3.97,62.5,59,None,GIA,THN to STK,80%,Not brown,,,Shivam Jewels,30e7f681-ab85-4b0e-b046-c4b9abd2ef1e,-42.00%,3745,3745.35,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/efec507e-5530-4409-bc5f-2e7e19c5b0f3.jpg,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/2347581539.pdf,,,,IN,N
,G427-137667,2357186221,PEAR,1,I,SI2,-,VG,G,NON,,9.11,5.27,3.4,64.5,57,None,GIA,MED to ETK,90%,Not brown,,,Shivam Jewels,30e7f681-ab85-4b0e-b046-c4b9abd2ef1e,-48.00%,2025,2025.4,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/03649f10-f717-4172-ad17-1e5c2c9bda93.jpg,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/2357186221.pdf,,,,IN,N
,G431-138259,1359289462,ROUND,0.5,H,SI2,EX,VG,VG,NON,,5.12,5.16,3.05,59.2,62,None,GIA,MED to STK,85%,Not brown,,,Shivam Jewels,30e7f681-ab85-4b0e-b046-c4b9abd2ef1e,-37.00%,755,1509,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/e3c7a7c5-af40-49d4-99c3-438d3ec3dd21.jpg,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/1359289462.pdf,,,,IN,N
,LD200110593,6342805693,PEAR,0.51,D,VS2,-,VG,VG,NON,,7.02,4.43,2.75,62.1,58,NON,GIA,STK to THK,100%,Not brown,Not green,Not milky,Laxmi,523f5320-903b-4939-8f99-c88e0d49c77b,-40.00%,887,1738.82,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/8e55684e-be38-47d5-bc31-0af16d138c3b.jpg,https://certifiedstone.info/certificate/LD200110593.pdf,,,,IN,N
,LD200110151,2347791090,ROUND,0.26,E,VS1,EX,EX,EX,NON,,4.04,4.06,2.55,62.9,57,None,GIA,MED to STK,100%,Not brown,Not green,Not milky,Laxmi,523f5320-903b-4939-8f99-c88e0d49c77b,5.00%,409,1574.92,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/ad77436d-f11f-4546-84d3-9a4ff45d8c06.jpg,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/2347791090.pdf,,,,IN,N
