id,stock_id,ReportNo,shape,carats,col,clar,cut,pol,symm,flo,floCol,lwratio,length,width,height,depth,table,culet,lab,girdle,eyeclean,brown,green,milky,discount,price,price_per_carat,video,video_frames,image,pdf,mine_of_origin,canada_mark_eligble,supplier_name,location,is_returnable,supplier_id,created_at,updated_at,deleted_at
35,EC-6,6342407231,ROUND,1.32,G,VS2,EX,EX,EX,NON,,,7.03,6.99,4.34,62.0,59,NON,GIA,MED to STK,100%,Not brown,Not green,,-28.00%,7508.16,5688.00,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/a3f5acb9-a79c-413c-a178-3ba5f903c473.jpg,https://www.gia.edu/report-check?reportno=6342407231,,,African star (hk) ltd,HK,Y,f6e0efcb-9b29-42a6-9721-b7322986b542,,,
36,ED-7A,6352136902,ROUND,1.70,G,SI2,EX,EX,EX,FNT,,,7.66,7.62,4.73,61.9,58,NON,GIA,MED to STK,100%,Not brown,Not green,Light Milky,-32.00%,8323.20,4896.00,,,,,,,African star (hk) ltd,HK,Y,f6e0efcb-9b29-42a6-9721-b7322986b542,,,
37,DR2-6D,7346368180,ROUND,0.73,J,SI2,EX,EX,EX,STG,Blue,,5.75,5.73,3.59,62.5,57,NON,GIA,MED to STK,100%,Not brown,Not green,,-51.00%,858.48,1176.00,,,,https://www.gia.edu/report-check?reportno=7346368180,,,African star (hk) ltd,HK,Y,f6e0efcb-9b29-42a6-9721-b7322986b542,,,
38,EG-1C,1349772256,PEAR,1.00,H,SI1,-,EX,VG,NON,,,9.05,5.59,3.30,59.1,62,VSM,GIA,STK to VTK,100%,Not brown,Not green,,-42.00%,2784.00,2784.00,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/40348b89-cb04-4b11-9cdc-648938e2223e.jpg,,,,African star (hk) ltd,HK,Y,f6e0efcb-9b29-42a6-9721-b7322986b542,,,
39,EF3-4,1349868299,ROUND,1.00,G,I1,EX,VG,VG,NON,,,6.35,6.37,3.96,62.3,59,None,GIA,MED to STK,100%,Not brown,Not green,,-37.00%,2457.00,2457.00,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/1349868299.pdf,,,African star (hk) ltd,HK,Y,f6e0efcb-9b29-42a6-9721-b7322986b542,,,
40,EF2-10,2344716985,ROUND,2.51,F,SI2,EX,EX,EX,NON,,,8.65,8.7,5.39,62.1,59,None,GIA,MED to STK,100%,Not brown,Not green,,-25.00%,18825.00,7500.00,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/d290373a-71c0-469f-abb4-e579a92c2e1d.jpg,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/2344716985.pdf,,,African star (hk) ltd,HK,Y,f6e0efcb-9b29-42a6-9721-b7322986b542,,,
41,DR2-4E,2346772244,PEAR,1.01,D,SI2,-,EX,VG,MED,Blue,,8.49,5.65,3.59,63.6,57,NON,GIA,STK to VTK,100%,Not brown,Not green,,-51.00%,2523.99,2499.00,,,,,,,African star (hk) ltd,HK,Y,f6e0efcb-9b29-42a6-9721-b7322986b542,,,
42,EF1-7N,2347776123,PEAR,0.70,G,I1,-,EX,G,NON,,,8.01,4.92,2.92,59.2,59,None,GIA,STK to VTK,100%,Not brown,Not green,,-34.00%,924.00,1320.00,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/2347776123.pdf,,,African star (hk) ltd,HK,Y,f6e0efcb-9b29-42a6-9721-b7322986b542,,,
43,EF1-2J,2347851866,ROUND,1.05,H,I1,EX,EX,EX,NON,,,6.57,6.59,3.96,60.1,60,None,GIA,THN to STK,100%,Not brown,Not green,,-32.00%,2641.80,2516.00,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/2347851866.pdf,,,African star (hk) ltd,HK,Y,f6e0efcb-9b29-42a6-9721-b7322986b542,,,
44,EF2-5C,2346820553,PEAR,0.80,E,SI1,-,EX,GD,NON,,,7.86,5.07,3.29,64.9,57,NON,GIA,THK to VTK,100%,Not brown,Not green,,-45.00%,1584.00,1980.00,,,,,,,African star (hk) ltd,HK,Y,f6e0efcb-9b29-42a6-9721-b7322986b542,,,
45,EF3-2A,3345760909,ROUND,0.91,F,IF,EX,EX,EX,NON,,,6.21,6.18,3.82,61.7,59,NON,GIA,MED to STK,100%,Not brown,Not green,,-37.00%,5274.36,5796.00,,,,,,,African star (hk) ltd,HK,Y,f6e0efcb-9b29-42a6-9721-b7322986b542,,,
46,EG-1A,3345773343,PEAR,0.70,G,VS2,-,EX,VG,NON,,,8.09,5.11,2.85,55.7,65,NON,GIA,MED to VTK,100%,Not brown,Not green,,-44.00%,1411.20,2016.00,,,,,,,African star (hk) ltd,HK,Y,f6e0efcb-9b29-42a6-9721-b7322986b542,,,
