id,stock_id,ReportNo,shape,carats,col,clar,cut,pol,symm,flo,floCol,length,width,height,depth,table,culet,lab,girdle,eyeclean,brown,green,milky,actual_supplier,discount,price,price_per_carat,video,video_frames,image,pdf,mine_of_origin,canada_mark_eligble,supplier_name,location,is_returnable,supplier_id,
,LD19082004,7332482026,ROUND,0.2,E,VS1,EX,EX,EX,NON,,3.74,3.76,2.31,61.4,58,None,GIA,MED to STK,100%,Not brown,Not green,Not milky,Laxmi,9.00%,281,1403.45,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/e099079a-55f5-4942-8c24-3d55cd68eed1.jpg,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/7332482026.pdf,,,,IN,N,523f5320-903b-4939-8f99-c88e0d49c77b,
,42798,2347975611,ROUND,0.3,K,VVS1,EX,EX,EX,FNT,,4.28,4.31,2.67,62.2,58,None,GIA,MED to STK,100%,,,,Honey Exports,-45.00%,294,980,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/2347975611.pdf,,,,IN,N,72049570-7cc1-4b52-afd0-a0251e6485b0,
,LD20015874,6341695024,ROUND,0.36,E,IF,EX,EX,EX,NON,,4.56,4.53,2.84,62.5,57,NON,GIA,MED to STK,100%,Not brown,Not green,Not milky,Laxmi,-22.00%,816,2267.33,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/ffc896a1-cd91-4605-a8d1-0dee6d970f8c.jpg,https://certifiedstone.info/certificate/LD20015874.pdf,,,,IN,N,523f5320-903b-4939-8f99-c88e0d49c77b,
,LD20051055,1355405802,ROUND,0.3,E,VVS1,VG,EX,EX,FNT,,4.23,4.27,2.65,62.3,61,None,GIA,STK to THK,100%,Not brown,Not green,Not milky,Laxmi,-47.00%,443,1478,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/3bfe2822-5d26-44f2-9514-47bcead1ae79.jpg,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/1355405802.pdf,,,,IN,N,523f5320-903b-4939-8f99-c88e0d49c77b,
,SARADIAMONDSPRIVATELIMITED200409,2347381731,ROUND,0.5,J,SI2,GD,EX,VG,MED,Blue,4.99,4.91,3.28,66.3,55,NON,GIA,VTN to THK,,,,,Sara Diamonds,-47.00%,560,1120,,,,http://s3.amazonaws.com/rap.certs/Gia/Certificates/2019/12/23/2347381731.pdf,,,,IN,N,97fcb0ad-7258-4c97-8e84-5716becf2442,
,LD20014704,5346652216,ROUND,0.5,D,VS2,VG,VG,EX,NON,,5.01,5.04,3.14,62.5,61,None,GIA,MED to THK,100%,Not brown,Not green,Not milky,Laxmi,-47.50%,1028,2055,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/429d6ccd-4f27-4dd9-9cbe-d66d2ed9d425.jpg,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/5346652216.pdf,,,,IN,N,523f5320-903b-4939-8f99-c88e0d49c77b,
,LD20030993,7351187820,ROUND,0.31,F,VVS2,EX,EX,EX,NON,,4.31,4.33,2.68,62,57,None,GIA,MED to STK,100%,Not brown,Not green,Not milky,Laxmi,-29.50%,533,1718.29,https://nivoda-images.s3.amazonaws.com/aHR0cHM6Ly9jZXJ0aWZpZWRzdG9uZS5pbmZvL3ZpZXdlci92aXNpb24zNjAuaHRtbD9kPUxEMjAwMzA5OTM=,16,https://nivoda-images.s3.eu-west-2.amazonaws.com/baf49475-7b06-40ba-8e8c-8b8adfc68f50.jpg,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/7351187820.pdf,,,,IN,N,523f5320-903b-4939-8f99-c88e0d49c77b,
,LD20031042,5353187789,ROUND,0.4,E,VS2,EX,EX,EX,FNT,,4.7,4.73,2.97,63.1,56,None,GIA,THN to STK,100%,Not brown,Not green,Not milky,Laxmi,-42.00%,610,1525,https://nivoda-images.s3.amazonaws.com/aHR0cHM6Ly9jZXJ0aWZpZWRzdG9uZS5pbmZvL3ZpZXdlci92aXNpb24zNjAuaHRtbD9kPUxEMjAwMzEwNDI=,16,https://nivoda-images.s3.eu-west-2.amazonaws.com/0025acce-41c6-4c2b-ae3e-ce771cddbc83.jpg,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/5353187789.pdf,,,,IN,N,523f5320-903b-4939-8f99-c88e0d49c77b,
,LD20014093,7342632210,ROUND,0.26,D,VS1,EX,EX,EX,NON,,4.07,4.08,2.55,62.6,57,None,GIA,MED to STK,100%,Not brown,Not green,Not milky,Laxmi,11.00%,431,1658.23,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/cd93168b-fb53-4c5f-823e-b327764dc572.jpg,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/7342632210.pdf,,,,IN,N,523f5320-903b-4939-8f99-c88e0d49c77b,
,LD20031063,1359188245,ROUND,0.3,F,VVS2,EX,EX,EX,NON,,4.3,4.32,2.65,61.4,60,None,GIA,MED to STK,100%,Not brown,Not green,Not milky,Laxmi,-29.50%,516,1721.5,https://nivoda-images.s3.amazonaws.com/aHR0cHM6Ly9jZXJ0aWZpZWRzdG9uZS5pbmZvL3ZpZXdlci92aXNpb24zNjAuaHRtbD9kPUxEMjAwMzEwNjM=,16,https://nivoda-images.s3.eu-west-2.amazonaws.com/29977dfd-8025-4540-bec9-929d2eafc305.jpg,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/1359188245.pdf,,,,IN,N,523f5320-903b-4939-8f99-c88e0d49c77b,
