id,stock_id,ReportNo,shape,carats,col,clar,cut,pol,symm,flo,floCol,length,width,height,depth,table,culet,lab,girdle,eyeclean,brown,green,milky,actual_supplier,discount,price,price_per_carat,video,video_frames,image,pdf,mine_of_origin,canada_mark_eligble,supplier_name,location,is_returnable,supplier_id
19839,200532-GC,1349256378,PEAR,0.4,E,VS1,-,VG,F,NON,,7.02,4.14,2.22,53.7,64,NON,GIA,THN to THK,100%,,,,Vaishali Gems,-45.50%,510,1274,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/5188aa50-5e38-4c58-ac8b-470e4d01ab15.jpg,TRUE,,,,HK,Y,0f73b5bb-6b58-4f06-964b-d20097ee9d3b
19840,201103-GB,5346512389,ROUND,0.5,H,VS1,G,EX,G,NON,,4.8,4.9,3.24,66.8,57,None,GIA,MED to VTK,100%,,,,Vaishali Gems,-48.60%,852,1704.8,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/ebd7da11-459e-4fe1-b543-06ebea7e9166.jpg,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/5346512389.pdf,,,,HK,Y,0f73b5bb-6b58-4f06-964b-d20097ee9d3b
19841,LD19100798,6332871552,PEAR,1.02,D,VS2,-,VG,EX,FNT,,8.77,5.64,3.48,61.7,57,NON,GIA,STK to THK,100%,Not brown,Not green,Not milky,Laxmi,-44.00%,4098,4018,https://nivoda-images.s3.amazonaws.com/aHR0cHM6Ly93d3cuY2VydGlmaWVkc3RvbmUuaW5mby92aWV3ZXIvVmlzaW9uMzYwLmh0bWw/ZD1MRDE5MTAwNzk4,16,https://nivoda-images.s3.eu-west-2.amazonaws.com/33c1c516-a0ae-4336-91a9-3b5fa584db13.jpg,https://www.laxmidiamond.com/certifiedstone/certificate/LD19100798.pdf,,,,IN,N,523f5320-903b-4939-8f99-c88e0d49c77b
19842,XJ17400950455,6355349225,ROUND,0.3,F,VS2,VG,EX,EX,NON,,4.19,4.21,2.72,64.7,57,None,GIA,STK to THK,,,,,China Star ,-41.20%,383,1276,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/6355349225.pdf,,,,unknown,N,3a1357c1-60d9-4cdc-96d7-7a9bebec3568
19843,QH12666063652,7328652723,ROUND,0.3,H,VS1,EX,EX,EX,FNT,,4.3,4.32,2.68,62.1,57,None,GIA,MED to STK,100%,,,,China Star ,-35.98%,395,1316.37,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/7328652723.pdf,,,,HK,N,3a1357c1-60d9-4cdc-96d7-7a9bebec3568
19844,LD19047243,7338805152,ROUND,0.23,H,VVS1,VG,EX,EX,NON,,4.04,4.03,2.39,59.2,60,NON,GIA,THN to MED,100%,Not brown,Not green,Not milky,Laxmi,-3.00%,338,1469,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/ba227a2c-637b-4443-b40d-fd8a037abd7f.jpg,https://www.laxmidiamond.com/certifiedstone/certificate/LD19047243.pdf,,,,IN,N,523f5320-903b-4939-8f99-c88e0d49c77b
19845,79270,5343618136,CUSHION MODIFIED,1.7,D,VS1,-,EX,VG,FNT,,6.74,6.71,4.69,69.9,62,None,GIA,MED to VTK,100%,Not brown,,Not milky,Sagar Enterprise,-40.06%,11052,6501.31,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/5aac0248-ecbb-4573-9796-9ad13536feef.jpg,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/5343618136.pdf,,,,IN,N,e8af6b4d-0eb8-49f9-869b-c5420a3a0cea
19846,GK06613821700,6355189701,ROUND,0.32,E,VS2,EX,EX,EX,FNT,,4.35,4.37,2.72,62.4,60,None,GIA,STK,,,,,China Star ,-44.87%,400,1251.47,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/6355189701.pdf,,,,unknown,N,3a1357c1-60d9-4cdc-96d7-7a9bebec3568
19847,KT04798995775,7342463134,ROUND,1.01,E,VVS2,VG,EX,VG,NON,,6.21,6.29,4.01,64.2,57,None,GIA,STK to THK,100%,,,,China Star ,-53.64%,5231,5179.56,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/6f7dc815-71b2-404f-b068-39483fda455b.jpg,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/7342463134.pdf,,,,HK,N,3a1357c1-60d9-4cdc-96d7-7a9bebec3568
19848,SH07686516393,7342449238,ROUND,0.3,H,VVS1,EX,EX,EX,NON,,4.31,4.33,2.66,61.6,56,None,GIA,MED to STK,100%,,,,China Star ,-33.30%,450,1500.7,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/7342449238.pdf,,,,HK,N,3a1357c1-60d9-4cdc-96d7-7a9bebec3568
