id,stock_id,ReportNo,shape,carats,col,clar,cut,pol,symm,flo,floCol,length,width,height,depth,table,culet,lab,girdle,eyeclean,brown,green,milky,actual_supplier,discount,price,price_per_carat,video,video_frames,image,pdf,mine_of_origin,canada_mark_eligble,supplier_name,location,is_returnable,supplier_id
6602,LD20013697,6341611225,ROUND,0.24,D,VS1,EX,EX,EX,NON,,4.06,4.04,2.41,59.4,61,NON,GIA,MED to STK,100%,Not brown,Not green,Not milky,Laxmi,10.00%,397,1654,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/60c0def2-c3ca-4d7f-9adf-747a7b222403.jpg,https://certifiedstone.info/certificate/LD20013697.pdf,,,,IN,N,523f5320-903b-4939-8f99-c88e0d49c77b
6603,801361,2357068087,ROUND,0.31,H,VS2,EX,EX,EX,NON,,4.36,4.37,2.67,61.2,56,None,GIA,MED,,Not brown,Not green,,Janam Corporation Pvt Ltd,-21.16%,470,1515.9,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/2357068087.pdf,,,,IN,Y,c238a51d-5b9e-40fb-ac80-7dad05bef5e5
6604,423111,5353022777,PRINCESS,0.63,I,VS1,-,VG,EX,NON,,4.67,4.54,3.61,79.5,65,NON,GIA,THK to VTK,100%,Not brown,Not green,,Janam Corporation Pvt Ltd,-22.35%,1008,1600.52,,,,,,,,IN,Y,c238a51d-5b9e-40fb-ac80-7dad05bef5e5
6605,745975,3315957093,ROUND,1.2,H,VS1,EX,EX,EX,NON,,6.87,6.85,4.18,60.9,57,NON,GIA,MED to STK,100%,Not brown,Not green,,Janam Corporation Pvt Ltd,-22.91%,6995,5829.42,,,,TRUE,,,,IN,Y,c238a51d-5b9e-40fb-ac80-7dad05bef5e5
6606,LD20010861,2347558731,ROUND,0.5,J,VS1,VG,EX,EX,MED,Blue,5.05,5.04,3.12,61.9,62,NON,GIA,STK to THK,100%,,,Not milky,Laxmi,-47.05%,665,1330.8,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/718a78be-11d3-4e72-a551-6913cba429e6.jpg,https://certifiedstone.info/certificate/LD20010861.pdf,,,,IN,N,523f5320-903b-4939-8f99-c88e0d49c77b
6607,317762,2216652819,CUSHION MODIFIED,1.12,I,SI1,-,VG,VG,NON,,5.69,5.58,4.16,74.6,67,NON,GIA,THK to VTK,,Not brown,Not green,,Janam Corporation Pvt Ltd,-53.80%,2227,1988.79,,,,TRUE,,,,IN,Y,c238a51d-5b9e-40fb-ac80-7dad05bef5e5
6608,384816,1199246995,EMERALD,0.92,F,SI1,-,VG,VG,NON,,6.33,4.91,3.05,62.1,67,NON,GIA,VTK to ETK,,Not brown,Not green,,Janam Corporation Pvt Ltd,-54.27%,2027,2202.89,,,,TRUE,,,,IN,Y,c238a51d-5b9e-40fb-ac80-7dad05bef5e5
6609,774013,3325064570,ROUND,0.35,I,VS2,EX,VG,EX,FNT,,4.57,4.55,2.76,60.5,58,NON,GIA,MED,,Not brown,Not green,,Janam Corporation Pvt Ltd,-28.72%,454,1297.54,,,,TRUE,,,,IN,Y,c238a51d-5b9e-40fb-ac80-7dad05bef5e5
6610,933814,7352102536,ROUND,0.21,F,VS1,EX,EX,EX,NON,,3.88,3.9,2.37,60.8,57,None,GIA,MED,100%,Not brown,Not green,,Janam Corporation Pvt Ltd,20.29%,320,1526.14,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/7352102536.pdf,,,,IN,Y,c238a51d-5b9e-40fb-ac80-7dad05bef5e5
6611,846707,5253137825,MARQUISE,0.22,F,SI2,-,EX,VG,NON,,5.98,3.18,1.98,62.3,58,NON,GIA,STK to THK,,Not brown,Not green,,Janam Corporation Pvt Ltd,6.47%,185,839.09,,,,TRUE,,,,IN,Y,c238a51d-5b9e-40fb-ac80-7dad05bef5e5
